Unnamed: 0.1,restaurant_name,restaurant_type,rating,num_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local address,rating_category
3842,Masti Masala,Quick Bites,4.0,397,450.0,yes,no,North Indian,Malleshwaram,Rajajinagar,Very Good
3843,Mathsya Darshini,Quick Bites,3.2,57,350.0,no,no,"Seafood, Mangalorean",Brigade Road,Lavelle Road,Good
3844,Matinee Bar & Kitchen,Casual Dining,4.2,340,1700.0,yes,yes,"Bbq, Continental, North Indian, Pizza, European",Bellandur,Marathahalli,Very Good
3845,Matka,Casual Dining,3.5,27,700.0,yes,yes,"North Indian, Biryani",Hsr,Hsr,Good
3846,Matka House,Quick Bites,3.9,391,450.0,yes,no,"North Indian, Chinese, Continental, Biryani",Marathahalli,Kaggadasapura,Good
3847,Matru Sagar,Quick Bites,3.6,84,250.0,yes,no,"South Indian, North Indian, Chinese",Banashankari,Banashankari,Good
3848,Matsuri - The Chancery Hotel,"Casual Dining, Bar",4.4,183,1800.0,no,yes,Japanese,Brigade Road,Lavelle Road,Very Good
3849,Matsya Loka,Quick Bites,3.6,153,400.0,yes,no,Seafood,Kalyan Nagar,Nagawara,Good
3850,Matsya Lunch Home,Quick Bites,3.7,10,400.0,yes,no,Mangalorean,Malleshwaram,Malleshwaram,Good
3851,Matteo Coffea,Cafe,4.2,858,600.0,no,no,Cafe,Indiranagar,Indiranagar,Very Good
3852,Mavalli Tiffin Room (Mtr),Casual Dining,3.7,560,400.0,no,no,South Indian,Whitefield,Whitefield,Good
3853,Maven Foods,Quick Bites,3.6,12,650.0,no,no,"Continental, North Indian, South Indian",Koramangala 4Th Block,Koramangala 4Th Block,Good
3854,Mawa And Co,Bakery,2.8,40,300.0,no,no,"Bakery, Fast Food",Jayanagar,Jayanagar,Average
3855,Maxpresso,Cafe,4.1,323,700.0,yes,no,"Cafe, American, Italian, Beverages",Brigade Road,Koramangala 7Th Block,Very Good
3856,Mayo N Burger,Quick Bites,3.2,4,250.0,yes,no,American,Indiranagar,Indiranagar,Good
3857,Mayonaise,Cafe,3.8,44,500.0,yes,no,"Cafe, Continental, Beverages",Kalyan Nagar,Banaswadi,Good
3858,Mayur,Casual Dining,3.6,18,500.0,no,no,"Andhra, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Good
3859,Mayur Veg Restaurant,Quick Bites,2.8,40,250.0,no,no,"South Indian, Chinese, North Indian, Juices",Rajajinagar,Vijay Nagar,Average
3860,Mayura 1989,"Casual Dining, Bar",3.7,103,900.0,no,no,"Andhra, Continental, Chinese",Rajajinagar,Rajajinagar,Good
3861,Mayura Grand,Casual Dining,3.5,20,400.0,no,no,"South Indian, North Indian",Koramangala 4Th Block,Koramangala 6Th Block,Good
3862,Mayura Grand Pure Veg Restaurant,Casual Dining,2.8,40,600.0,no,no,"North Indian, South Indian, Chinese",Koramangala 4Th Block,Koramangala 6Th Block,Average
